Price,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,0.0,,0.0,,0.0,,,26.590757369995117,,18.15324592590332,,19.83343505859375,,,0.0,,0.0,,0.0,,,26.733117594218523,,18.16765822705057,,20.138361234367103,,,26.590757369995117,,18.143338220489543,,19.805887939058298,,,26.70445566041771,,18.158650753583526,,20.138361234367103,,,0.0,,0.0,,0.0,,,13300,,2900,,1500,,
2020-01-30,0.0,,0.0,,0.0,,,26.641399383544922,,18.136138916015625,,19.84768295288086,,,0.0,,0.0,,0.0,,,26.641399383544922,,18.19918953309929,,19.849583566394404,,,26.379609550700373,,18.136138916015625,,19.625401763479207,,,26.47515176890631,,18.15865674811687,,19.658648911213778,,,0.0,,0.0,,0.0,,,5800,,23000,,9200,,
2020-01-31,0.0,,0.0,,0.0,,,26.02609634399414,,18.145151138305664,,19.405973434448242,,,0.0,,0.0,,0.0,,,26.48470553769029,,18.194691412685895,,19.577909227043612,,,25.97928014826003,,18.145151138305664,,19.378424499546743,,,26.48470553769029,,18.183881750929743,,19.577909227043612,,,0.0,,0.0,,0.0,,,8300,,7500,,3700,,
2020-02-03,0.0,,0.0,,0.0,,,26.235336303710938,,18.149648666381836,,19.588350296020508,,,0.0,,0.0,,0.0,,,26.322280665383673,,18.167663618662214,,19.62539684967279,,,26.17609896519629,,18.118123358891378,,19.568402012374417,,,26.226738452141625,,18.118123358891378,,19.61589740815086,,,0.0,,0.0,,0.0,,,7900,,13700,,5100,,
2020-02-04,0.0,,0.0,,0.0,,,26.67579460144043,,18.15324592590332,,19.894227981567383,,,0.0,,0.0,,0.0,,,26.77133864258881,,18.22170134985293,,19.929373926052953,,,26.647130842390613,,18.077585210380036,,19.788786524443857,,,26.656685428740552,,18.104607630781167,,19.788786524443857,,,0.0,,0.0,,0.0,,,16500,,26900,,10300,,
2020-02-05,0.0,,0.0,,0.0,,,26.96242332458496,,18.176673889160156,,20.087059020996094,,,0.0,,0.0,,0.0,,,26.971977910375728,,18.18477941633213,,20.10985731808005,,,26.828662768216045,,18.16766641163522,,20.01486471553577,,,26.971977910375728,,18.16766641163522,,20.099408476048485,,,0.0,,0.0,,0.0,,,15700,,25000,,7200,,
2020-02-06,0.0,,0.0,,0.0,,,27.067523956298828,,18.176673889160156,,20.225753784179688,,,0.0,,0.0,,0.0,,,27.23950286860407,,18.203694603734295,,20.242852059258322,,,26.991089086646614,,18.12443120671579,,20.157358872031402,,,27.048414783298014,,18.149651456585346,,20.157358872031402,,,0.0,,0.0,,0.0,,,8500,,10300,,11300,,
2020-02-07,0.0,,0.0,,0.0,,,26.82388687133789,,18.163166046142578,,20.08611297607422,,,0.0,,0.0,,0.0,,,27.04841326325104,,18.19469136284347,,20.394836721128346,,,26.82388687133789,,18.14064649021259,,20.08611297607422,,,27.04841326325104,,18.14064649021259,,20.394836721128346,,,0.0,,0.0,,0.0,,,4600,,16000,,19900,,
2020-02-10,0.0,,0.0,,0.0,,,26.92707061767578,,18.185688018798828,,20.230497360229492,,,0.0,,0.0,,0.0,,,26.933758644812666,,18.212708743256833,,20.230497360229492,,,26.756046647446226,,18.185688018798828,,20.128855334238654,,,26.83821461899256,,18.194695499618597,,20.13835477526737,,,0.0,,0.0,,0.0,,,8200,,21400,,8800,,
2020-02-11,0.0,,0.0,,0.0,,,27.029306411743164,,18.194686889648438,,20.225753784179688,,,0.0,,0.0,,0.0,,,27.1324933907587,,18.19918976892685,,20.346394734281503,,,27.007330681387156,,18.17216733925492,,20.17635776071155,,,27.096186692368885,,18.17216733925492,,20.317896401261283,,,0.0,,0.0,,0.0,,,11600,,1800,,2900,,
